Messstelle:                ;Lienz-Tristach
HZB-Nummer:                ;105015
HD-Nummer:                 ;
DBMS-Nummer:               ;7004474
Sachgebiet:                ;NLV
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhe:
 gültig seit:              ;Höhe [m ü.A.]:
  01.02.1970               ;659
  21.12.2005               ;666
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.02.1970               ;12 48 08                 ;46 49 34
  21.12.2005               ;12 47 25                 ;46 49 13
Exportzeitreihe:           ;Niederschlag,I,Sum,T,1,O,Z,0,,,
Exportqualität:            ;MAXQUAL (2)
Exportzeitraum:            ;01.01.1971 07:00; bis ;01.01.2016 07:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Hinweis:                   ;Messwert=0.001 - nicht messbarer Niederschlag
Werteformat:               ;1 Nachkommastelle
Einheit:                   ;mm
Werte:
01.01.2005 07:00:00   ;     0,0
02.01.2005 07:00:00   ;     0,0
03.01.2005 07:00:00   ;     0,0
04.01.2005 07:00:00   ;     0,0
05.01.2005 07:00:00   ;     0,0
06.01.2005 07:00:00   ;     0,2
07.01.2005 07:00:00   ;     0,0
08.01.2005 07:00:00   ;     0,0
09.01.2005 07:00:00   ;     0,0
10.01.2005 07:00:00   ;     0,0
11.01.2005 07:00:00   ;     0,0
12.01.2005 07:00:00   ;     0,0
13.01.2005 07:00:00   ;     0,0
14.01.2005 07:00:00   ;     0,0
15.01.2005 07:00:00   ;     0,0
16.01.2005 07:00:00   ;     0,0
17.01.2005 07:00:00   ;     0,0
18.01.2005 07:00:00   ;     0,6
19.01.2005 07:00:00   ;     0,0
20.01.2005 07:00:00   ;     1,4
21.01.2005 07:00:00   ;     1,9
22.01.2005 07:00:00   ;     0,0
23.01.2005 07:00:00   ;     0,0
24.01.2005 07:00:00   ;     0,0
25.01.2005 07:00:00   ;     0,0
26.01.2005 07:00:00   ;     0,0
27.01.2005 07:00:00   ;     0,0
28.01.2005 07:00:00   ;     0,0
29.01.2005 07:00:00   ;     0,0
30.01.2005 07:00:00   ;     0,0
31.01.2005 07:00:00   ;     1,1
01.02.2005 07:00:00   ;     0,0
02.02.2005 07:00:00   ;     2,4
03.02.2005 07:00:00   ;     0,0
04.02.2005 07:00:00   ;     0,0
05.02.2005 07:00:00   ;     0,0
06.02.2005 07:00:00   ;     0,0
07.02.2005 07:00:00   ;     0,0
08.02.2005 07:00:00   ;     0,0
09.02.2005 07:00:00   ;     0,0
10.02.2005 07:00:00   ;     0,0
11.02.2005 07:00:00   ;     0,0
12.02.2005 07:00:00   ;     0,9
13.02.2005 07:00:00   ;     0,1
14.02.2005 07:00:00   ;     0,0
15.02.2005 07:00:00   ;     0,0
16.02.2005 07:00:00   ;     0,0
17.02.2005 07:00:00   ;     0,0
18.02.2005 07:00:00   ;     0,0
19.02.2005 07:00:00   ;     0,0
20.02.2005 07:00:00   ;     0,1
21.02.2005 07:00:00   ;     2,3
22.02.2005 07:00:00   ;     0,7
23.02.2005 07:00:00   ;     0,0
24.02.2005 07:00:00   ;     0,0
25.02.2005 07:00:00   ;     0,001
26.02.2005 07:00:00   ;     0,0
27.02.2005 07:00:00   ;     0,0
28.02.2005 07:00:00   ;     0,0
01.03.2005 07:00:00   ;     0,0
02.03.2005 07:00:00   ;     0,0
03.03.2005 07:00:00   ;     0,5
04.03.2005 07:00:00   ;     0,0
05.03.2005 07:00:00   ;     0,0
06.03.2005 07:00:00   ;     0,0
07.03.2005 07:00:00   ;     0,0
08.03.2005 07:00:00   ;     0,0
09.03.2005 07:00:00   ;     0,0
10.03.2005 07:00:00   ;     0,001
11.03.2005 07:00:00   ;     0,0
12.03.2005 07:00:00   ;     0,0
13.03.2005 07:00:00   ;     0,0
14.03.2005 07:00:00   ;     0,0
15.03.2005 07:00:00   ;     0,0
16.03.2005 07:00:00   ;     0,0
17.03.2005 07:00:00   ;     0,0
18.03.2005 07:00:00   ;     0,0
19.03.2005 07:00:00   ;     0,0
20.03.2005 07:00:00   ;     0,0
21.03.2005 07:00:00   ;     0,0
22.03.2005 07:00:00   ;     0,0
23.03.2005 07:00:00   ;     0,0
24.03.2005 07:00:00   ;     0,0
25.03.2005 07:00:00   ;     1,5
26.03.2005 07:00:00   ;     0,001
27.03.2005 07:00:00   ;     0,0
28.03.2005 07:00:00   ;     0,0
29.03.2005 07:00:00   ;     0,2
30.03.2005 07:00:00   ;     1,6
31.03.2005 07:00:00   ;     0,8
01.04.2005 07:00:00   ;     0,0
02.04.2005 07:00:00   ;     0,0
03.04.2005 07:00:00   ;     0,0
04.04.2005 07:00:00   ;     0,0
05.04.2005 07:00:00   ;     0,0
06.04.2005 07:00:00   ;     0,0
07.04.2005 07:00:00   ;     0,0
08.04.2005 07:00:00   ;    11,1
09.04.2005 07:00:00   ;     7,5
10.04.2005 07:00:00   ;     0,001
11.04.2005 07:00:00   ;     9,1
12.04.2005 07:00:00   ;     1,3
13.04.2005 07:00:00   ;     0,001
14.04.2005 07:00:00   ;     0,001
15.04.2005 07:00:00   ;     0,0
16.04.2005 07:00:00   ;     3,2
17.04.2005 07:00:00   ;     3,3
18.04.2005 07:00:00   ;    14,4
19.04.2005 07:00:00   ;    12,0
20.04.2005 07:00:00   ;     0,001
21.04.2005 07:00:00   ;     0,0
22.04.2005 07:00:00   ;     0,0
23.04.2005 07:00:00   ;     0,0
24.04.2005 07:00:00   ;     2,6
25.04.2005 07:00:00   ;     2,9
26.04.2005 07:00:00   ;     0,0
27.04.2005 07:00:00   ;     2,8
28.04.2005 07:00:00   ;     0,0
29.04.2005 07:00:00   ;     0,0
30.04.2005 07:00:00   ;     0,0
01.05.2005 07:00:00   ;     0,0
02.05.2005 07:00:00   ;     0,0
03.05.2005 07:00:00   ;    11,1
04.05.2005 07:00:00   ;     6,9
05.05.2005 07:00:00   ;     0,0
06.05.2005 07:00:00   ;     0,0
07.05.2005 07:00:00   ;     0,7
08.05.2005 07:00:00   ;     3,4
09.05.2005 07:00:00   ;     1,4
10.05.2005 07:00:00   ;     1,9
11.05.2005 07:00:00   ;     0,0
12.05.2005 07:00:00   ;     0,0
13.05.2005 07:00:00   ;     0,0
14.05.2005 07:00:00   ;     0,5
15.05.2005 07:00:00   ;     1,9
16.05.2005 07:00:00   ;     1,4
17.05.2005 07:00:00   ;    13,2
18.05.2005 07:00:00   ;    12,7
19.05.2005 07:00:00   ;     0,0
20.05.2005 07:00:00   ;     0,0
21.05.2005 07:00:00   ;     0,3
22.05.2005 07:00:00   ;     2,8
23.05.2005 07:00:00   ;    10,5
24.05.2005 07:00:00   ;     0,0
25.05.2005 07:00:00   ;     0,0
26.05.2005 07:00:00   ;     0,0
27.05.2005 07:00:00   ;     0,0
28.05.2005 07:00:00   ;     0,0
29.05.2005 07:00:00   ;     0,0
30.05.2005 07:00:00   ;     3,5
31.05.2005 07:00:00   ;     0,001
01.06.2005 07:00:00   ;     0,0
02.06.2005 07:00:00   ;     0,0
03.06.2005 07:00:00   ;     0,0
04.06.2005 07:00:00   ;    11,8
05.06.2005 07:00:00   ;     0,2
06.06.2005 07:00:00   ;     0,4
07.06.2005 07:00:00   ;     0,0
08.06.2005 07:00:00   ;     0,0
09.06.2005 07:00:00   ;     0,0
10.06.2005 07:00:00   ;     0,0
