Date,Sölden-Kaisers,Längenfeld,Oetz,Ochsengarten-Obergut,Gries im Sellrain,Obernberg am Brenner,Trins,Matrei am Brenner,Schönberg im Stubaital,Telfes im Stubai,Kleinvolderberg,St.Martin i.G.,Weerberg,Schwaz,Rotholz,Schlitterberg,Ginzling,Lanersbach,Gerlos,Inneralpbach,Kelchsau,Jochberg,Klaushof,Ried im Zillertal,Inzing,Innerschmirn-Obern,Dresdner Hütte,Neustift i. St.-Volderau,Gschößwand,Aschau,Axams,Haidbach,Stuhlfelden,Bucheben,Böckstein,Klammstein,Hüttschlag,Großarl,Kleinarl,Hüttau,Karbachalm (Talstation),Lienz-Tristach,Flachau,Bramberg,Jauken,Muhr,Zederhaus,Sillian,Hochberg,Innervillgraten,Anras,Prägraten,Matrei in Osttirol,St.Johann im Walde,Iselsberg-Penzelberg,Oberdrauburg,Greifenburg,Sachsenburg,Stall,Kleindorf,Malta,Millstatt,Hochegg,Weißenstein,Afritz,Obertilliach,Maria Luggau,Waidegg,Weißbriach,Feistritz an der Gail,Arnoldstein,Irschen-Leppen,Würmlach,Naßfeld,Tröpolach,Felbertauerntunnel-Süd,Hopfgarten i.Def.,Zettersfeld,Nikolsdorf,Kartitsch,Gries,Navis,Gschnitz-Obertal,Hall in Tirol
2000-01-01 07:00:00,30.0,36.0,21.0,80.0,72.0,66.0,39.0,20.0,20.0,28.0,5.0,55.0,38.0,19.0,34.0,64.0,35.0,52.0,75.0,68.0,44.0,80.0,35.0,13.0,21.0,63.0,97.0,45.0,78.0,65.0,31.0,44.0,37.0,54.0,48.0,22.0,60.0,49.0,75.0,50.0,65.0,,40.0,,,35.0,50.0,38.0,30.0,37.0,26.0,15.0,26.0,16.0,36.0,32.0,35.0,22.0,30.0,14.0,26.0,13.0,18.0,25.0,22.0,58.0,43.0,45.0,40.0,40.0,40.0,30.0,45.0,61.0,40.0,66.0,42.0,65.0,25.0,40.0,55.0,37.0,65.0,
2000-01-02 07:00:00,30.0,35.0,20.0,78.0,68.0,66.0,40.0,21.0,25.0,26.0,9.0,59.0,50.0,28.0,39.0,69.0,45.0,59.0,80.0,74.0,50.0,90.0,40.0,20.0,22.0,67.0,95.0,45.0,85.0,71.0,29.0,51.0,42.0,65.0,48.0,30.0,60.0,55.0,85.0,60.0,85.0,,48.0,,,35.0,53.0,37.0,29.0,37.0,24.0,15.0,26.0,14.0,35.0,31.0,35.0,22.0,30.0,13.0,26.0,12.0,16.0,25.0,22.0,58.0,43.0,45.0,40.0,40.0,40.0,25.0,45.0,60.0,40.0,72.0,40.0,66.0,25.0,38.0,54.0,38.0,68.0,
2000-01-03 07:00:00,28.0,35.0,20.0,78.0,65.0,66.0,38.0,20.0,23.0,23.0,5.0,51.0,42.0,22.0,30.0,65.0,43.0,55.0,75.0,69.0,45.0,75.0,36.0,18.0,22.0,60.0,95.0,45.0,70.0,65.0,29.0,49.0,40.0,62.0,47.0,27.0,55.0,46.0,80.0,60.0,80.0,,45.0,,,35.0,50.0,36.0,29.0,37.0,22.0,10.0,26.0,14.0,34.0,29.0,35.0,20.0,29.0,11.0,25.0,12.0,10.0,25.0,21.0,58.0,42.0,45.0,40.0,38.0,40.0,22.0,40.0,60.0,40.0,70.0,38.0,66.0,24.0,36.0,50.0,35.0,65.0,
2000-01-04 07:00:00,28.0,35.0,20.0,70.0,64.0,65.0,36.0,19.0,20.0,21.0,5.0,49.0,36.0,19.0,30.0,63.0,40.0,51.0,70.0,66.0,42.0,70.0,36.0,17.0,22.0,57.0,95.0,45.0,70.0,61.0,29.0,47.0,35.0,58.0,46.0,25.0,55.0,42.0,75.0,55.0,80.0,,42.0,,,35.0,48.0,36.0,27.0,37.0,21.0,10.0,25.0,14.0,33.0,29.0,35.0,20.0,27.0,11.0,24.0,11.0,10.0,24.0,21.0,57.0,41.0,45.0,40.0,38.0,39.0,17.0,40.0,59.0,39.0,68.0,37.0,65.0,23.0,35.0,47.0,32.0,60.0,
2000-01-05 07:00:00,28.0,34.0,18.0,68.0,62.0,62.0,35.0,19.0,19.0,21.0,5.0,48.0,36.0,17.0,28.0,61.0,37.0,50.0,70.0,65.0,40.0,70.0,36.0,17.0,22.0,55.0,95.0,45.0,65.0,59.0,29.0,46.0,35.0,57.0,46.0,22.0,55.0,42.0,75.0,55.0,80.0,,38.0,,,30.0,47.0,35.0,25.0,37.0,20.0,10.0,25.0,14.0,32.0,28.0,34.0,20.0,25.0,11.0,22.0,10.0,8.0,24.0,20.0,56.0,41.0,45.0,40.0,37.0,38.0,12.0,38.0,59.0,39.0,65.0,36.0,60.0,22.0,35.0,43.0,30.0,57.0,
2000-01-06 07:00:00,28.0,34.0,17.0,65.0,60.0,58.0,33.0,19.0,18.0,20.0,5.0,45.0,34.0,16.0,28.0,53.0,35.0,48.0,70.0,62.0,38.0,65.0,35.0,16.0,22.0,50.0,95.0,45.0,65.0,55.0,29.0,46.0,35.0,57.0,45.0,21.0,50.0,40.0,70.0,50.0,75.0,,38.0,,,30.0,44.0,34.0,25.0,37.0,19.0,10.0,25.0,14.0,31.0,28.0,34.0,20.0,23.0,11.0,20.0,10.0,8.0,23.0,20.0,54.0,41.0,45.0,35.0,36.0,37.0,8.0,38.0,58.0,38.0,60.0,36.0,60.0,22.0,32.0,40.0,29.0,55.0,
2000-01-07 07:00:00,28.0,34.0,15.0,65.0,58.0,57.0,32.0,18.0,17.0,19.0,5.0,44.0,32.0,16.0,28.0,50.0,34.0,47.0,66.0,62.0,38.0,60.0,35.0,15.0,22.0,50.0,85.0,45.0,65.0,53.0,29.0,45.0,35.0,56.0,45.0,20.0,50.0,39.0,70.0,50.0,75.0,,35.0,,,30.0,43.0,34.0,25.0,37.0,19.0,8.0,24.0,14.0,30.0,27.0,34.0,20.0,22.0,11.0,19.0,10.0,5.0,23.0,20.0,53.0,41.0,45.0,35.0,35.0,37.0,5.0,36.0,57.0,38.0,59.0,35.0,60.0,22.0,31.0,40.0,28.0,54.0,
2000-01-08 07:00:00,28.0,34.0,15.0,63.0,56.0,53.0,31.0,18.0,17.0,19.0,4.0,44.0,32.0,16.0,27.0,50.0,34.0,45.0,66.0,62.0,36.0,60.0,35.0,15.0,22.0,50.0,83.0,45.0,65.0,53.0,29.0,44.0,35.0,55.0,45.0,20.0,50.0,39.0,70.0,50.0,70.0,,35.0,,,30.0,42.0,34.0,24.0,37.0,19.0,8.0,24.0,14.0,30.0,27.0,34.0,20.0,22.0,11.0,18.0,10.0,5.0,21.0,20.0,52.0,39.0,45.0,35.0,35.0,36.0,5.0,36.0,56.0,38.0,58.0,35.0,56.0,22.0,31.0,38.0,28.0,53.0,
2000-01-09 07:00:00,28.0,34.0,15.0,62.0,53.0,49.0,30.0,18.0,17.0,19.0,4.0,43.0,32.0,16.0,26.0,50.0,34.0,45.0,65.0,62.0,35.0,60.0,35.0,14.0,22.0,50.0,82.0,43.0,65.0,52.0,28.0,43.0,35.0,54.0,46.0,20.0,50.0,38.0,65.0,50.0,70.0,,35.0,,,30.0,42.0,34.0,23.0,37.0,18.0,8.0,23.0,14.0,30.0,27.0,34.0,20.0,21.0,11.0,17.0,10.0,5.0,21.0,20.0,52.0,39.0,45.0,35.0,35.0,36.0,5.0,35.0,56.0,38.0,58.0,35.0,56.0,22.0,31.0,37.0,28.0,52.0,
2000-01-10 07:00:00,28.0,34.0,15.0,62.0,52.0,48.0,30.0,18.0,17.0,19.0,4.0,43.0,30.0,16.0,25.0,50.0,34.0,45.0,65.0,62.0,35.0,60.0,35.0,14.0,22.0,49.0,82.0,43.0,63.0,52.0,28.0,43.0,35.0,57.0,46.0,21.0,50.0,38.0,65.0,50.0,70.0,,35.0,,,30.0,42.0,34.0,23.0,37.0,18.0,8.0,23.0,14.0,30.0,26.0,34.0,20.0,20.0,11.0,17.0,10.0,5.0,21.0,20.0,52.0,38.0,45.0,35.0,34.0,35.0,5.0,34.0,55.0,37.0,58.0,34.0,56.0,21.0,31.0,37.0,28.0,50.0,
2000-01-11 07:00:00,28.0,34.0,13.0,62.0,50.0,46.0,30.0,18.0,17.0,18.0,4.0,40.0,30.0,16.0,25.0,46.0,33.0,45.0,64.0,62.0,34.0,60.0,35.0,13.0,22.0,48.0,80.0,43.0,60.0,51.0,28.0,43.0,35.0,54.0,45.0,21.0,50.0,38.0,65.0,45.0,65.0,,35.0,,,30.0,42.0,34.0,23.0,37.0,18.0,8.0,23.0,14.0,30.0,26.0,34.0,19.0,20.0,11.0,16.0,10.0,5.0,21.0,20.0,52.0,38.0,45.0,35.0,31.0,30.0,4.0,34.0,55.0,37.0,57.0,34.0,56.0,21.0,31.0,37.0,28.0,50.0,
2000-01-12 07:00:00,28.0,33.0,13.0,62.0,48.0,45.0,30.0,18.0,17.0,18.0,4.0,40.0,28.0,16.0,25.0,46.0,33.0,45.0,63.0,60.0,33.0,55.0,35.0,12.0,22.0,48.0,80.0,43.0,60.0,51.0,28.0,43.0,35.0,54.0,44.0,21.0,50.0,38.0,65.0,45.0,65.0,,35.0,,,30.0,42.0,34.0,23.0,37.0,18.0,8.0,23.0,14.0,30.0,26.0,33.0,19.0,20.0,11.0,14.0,10.0,5.0,20.0,20.0,52.0,38.0,45.0,35.0,29.0,30.0,4.0,32.0,54.0,37.0,57.0,34.0,56.0,21.0,31.0,37.0,28.0,50.0,
2000-01-13 07:00:00,28.0,33.0,13.0,62.0,47.0,45.0,29.0,18.0,17.0,18.0,4.0,40.0,28.0,16.0,25.0,46.0,32.0,45.0,63.0,60.0,32.0,55.0,35.0,12.0,22.0,48.0,80.0,43.0,60.0,51.0,28.0,43.0,35.0,53.0,44.0,20.0,50.0,38.0,65.0,45.0,65.0,,35.0,,,30.0,42.0,34.0,23.0,37.0,18.0,8.0,23.0,14.0,30.0,26.0,33.0,18.0,19.0,11.0,12.0,10.0,5.0,20.0,20.0,52.0,35.0,45.0,35.0,27.0,29.0,4.0,32.0,54.0,36.0,57.0,33.0,56.0,20.0,31.0,37.0,28.0,50.0,
