Date,Innsbruck-Reichenau,Krössbach,Puig,Obernberg am Brenner,Trins,Matrei am Brenner,Schönberg im Stubaital,Telfes im Stubai,Innerschmirn-Obern,Dresdner Hütte,Neustift i. St.-Volderau
1996-01-01,7.59,0.617,3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-02,7.3,0.584,3.19,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0
1996-01-03,7.2,0.598,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-04,7.04,0.552,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-05,6.71,0.497,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-06,7.07,0.541,3.02,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-07,7.27,0.602,3.07,2.6,3.1,3.5,1.1,3.6,5.1,3.5,3.1
1996-01-08,8.04,0.609,3.16,1.1,2.4,2.7,4.4,1.0,2.0,0.0,1.0
1996-01-09,8.0,0.584,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-10,8.02,0.587,3.1,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-11,8.42,0.607,3.42,4.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-12,8.6,0.614,3.48,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-13,8.34,0.604,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-14,8.08,0.578,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-15,7.71,0.505,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-16,7.52,0.441,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-17,7.18,0.398,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-18,7.3,0.445,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-19,7.33,0.444,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-20,7.0,0.399,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-21,6.93,0.394,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-22,6.81,0.39,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-23,7.3,0.426,2.72,1.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0
1996-01-24,7.34,0.492,2.71,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-25,7.15,0.478,2.69,1.1,0.4,0.0,0.0,0.0,0.4,0.0,0.0
1996-01-26,7.09,0.469,2.7,8.8,5.4,2.7,1.0,1.0,3.5,0.8,2.0
1996-01-27,7.26,0.488,2.75,6.4,6.2,5.5,4.4,5.0,5.0,15.0,8.9
1996-01-28,7.22,0.455,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-29,6.98,0.424,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-30,6.94,0.411,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-31,6.22,0.354,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-02-01,6.81,0.416,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-02-02,7.06,0.444,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-02-03,6.95,0.458,2.93,0.8,0.6,0.2,0.5,0.3,0.1,1.0,1.4
1996-02-04,6.89,0.446,2.93,0.3,0.3,1.4,1.0,1.3,0.2,2.0,3.0
1996-02-05,6.68,0.43,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-02-06,5.94,0.339,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-02-07,6.32,0.357,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-02-08,6.43,0.379,2.81,0.0,0.1,0.0,0.5,0.5,1.4,5.4,0.0
1996-02-09,6.45,0.39,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-02-10,6.41,0.386,2.72,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
1996-02-11,6.52,0.403,2.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-02-12,6.38,0.394,2.69,2.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0
1996-02-13,6.42,0.397,2.67,0.7,1.2,1.0,0.6,0.9,0.4,5.0,1.5
1996-02-14,6.33,0.395,2.68,0.5,0.1,0.0,0.0,0.0,0.3,3.1,0.5
1996-02-15,6.29,0.392,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-02-16,6.21,0.396,2.63,2.9,1.1,0.9,0.8,1.1,4.0,4.4,1.0
1996-02-17,6.35,0.398,2.68,1.2,1.5,1.8,1.0,0.5,6.8,5.3,2.0
1996-02-18,6.32,0.369,2.66,1.8,0.3,1.4,2.0,2.2,2.0,1.8,3.0
1996-02-19,6.31,0.363,2.69,5.6,4.7,4.2,4.4,5.4,3.1,10.1,3.8
1996-02-20,6.29,0.369,2.68,1.8,0.6,0.3,0.0,0.0,0.5,3.9,3.2
1996-02-21,6.2,0.365,2.66,0.0,0.1,0.3,0.4,0.2,0.1,2.0,1.6
1996-02-22,6.15,0.37,2.65,0.2,0.3,0.5,0.8,1.9,0.0,0.9,1.9
1996-02-23,5.99,0.354,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-02-24,5.68,0.323,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-02-25,6.15,0.357,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-02-26,6.2,0.369,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-02-27,6.13,0.37,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-02-28,6.11,0.366,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-02-29,6.17,0.364,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-03-01,6.18,0.359,2.61,2.1,3.2,2.9,2.6,2.6,1.5,1.9,1.6
1996-03-02,5.92,0.349,2.56,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0
1996-03-03,5.95,0.339,2.53,0.0,0.0,0.0,0.0,0.0,1.2,2.0,0.0
1996-03-04,6.03,0.332,2.52,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
1996-03-05,5.42,0.329,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-03-06,5.73,0.342,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-03-07,5.82,0.346,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-03-08,5.85,0.343,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-03-09,5.85,0.341,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-03-10,5.84,0.338,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-03-11,5.76,0.338,2.48,1.6,1.6,1.8,3.1,4.2,3.6,4.4,3.3
1996-03-12,5.96,0.366,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0
1996-03-13,5.48,0.363,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-03-14,5.85,0.38,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-03-15,6.07,0.394,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-03-16,6.33,0.39,2.64,2.6,1.8,1.0,0.0,0.1,2.5,5.3,1.0
1996-03-17,6.54,0.387,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-03-18,6.34,0.383,2.73,1.3,0.4,0.4,0.0,1.0,1.0,5.4,2.5
1996-03-19,6.48,0.425,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-03-20,6.31,0.42,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-03-21,6.56,0.459,2.84,3.4,2.7,4.7,3.4,2.6,3.2,4.7,3.5
1996-03-22,6.99,0.484,2.97,17.3,10.8,10.0,11.1,14.5,13.0,13.9,12.5
1996-03-23,8.03,0.461,3.21,1.4,5.5,7.0,6.7,4.9,10.6,3.8,5.0
1996-03-24,7.32,0.553,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-03-25,8.38,0.774,3.49,2.0,3.6,2.6,3.2,2.0,3.1,3.0,5.7
1996-03-26,10.0,1.12,4.21,1.7,3.7,3.2,3.6,4.8,2.0,4.2,2.9
1996-03-27,10.2,1.04,3.97,1.1,1.5,2.0,2.5,1.9,1.0,6.0,2.3
1996-03-28,7.97,0.725,3.36,0.3,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1996-03-29,7.53,0.682,3.21,1.4,0.3,0.5,0.3,0.7,0.5,3.0,5.0
1996-03-30,7.15,0.655,3.13,0.7,0.9,1.0,0.9,0.7,0.6,3.0,2.5
1996-03-31,7.11,0.606,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-04-01,6.74,0.577,2.98,3.0,2.0,2.0,1.2,0.7,3.0,10.5,2.4
1996-04-02,7.04,0.552,3.01,0.6,0.5,0.7,3.6,3.6,1.2,6.0,4.5
1996-04-03,6.66,0.526,2.92,1.9,0.3,0.5,0.0,0.1,0.3,4.1,1.0
1996-04-04,6.17,0.513,2.96,0.0,0.0,0.0,0.0,0.2,0.1,1.0,0.0
1996-04-05,6.25,0.517,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-04-06,6.48,0.565,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-04-07,6.77,0.617,3.07,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0
1996-04-08,7.05,0.663,3.14,4.5,6.5,6.2,5.6,4.2,3.3,4.7,5.6
1996-04-09,7.65,0.679,3.5,0.0,0.3,0.0,0.0,0.0,1.8,0.0,0.0
1996-04-10,7.28,0.674,3.41,1.6,2.3,2.0,1.1,1.5,2.1,1.7,1.2
1996-04-11,7.56,0.735,3.54,1.9,3.5,2.6,2.5,4.2,0.8,14.2,1.2
1996-04-12,8.19,0.779,3.57,3.7,3.6,4.4,4.9,6.1,5.5,2.4,8.0
1996-04-13,8.68,0.804,3.69,3.0,3.0,2.5,4.2,4.2,0.0,6.8,8.5
1996-04-14,7.77,0.7,3.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-04-15,7.72,0.693,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
